old_capability	new_system	domain_model	api	android_contract	offline	project_integration	memory_integration	ai_integration	progression_integration	tests	status
Chat	Chat + scoped AI context	Conversation/Message/Citation	/chats; /ai/context-debug	chat models + server integration	cached foundation	link-project + instructions	Student/context planner	scoped provider orchestration	meaningful events only	Part1CompletionIntegrationTest; Part3AiContextIsolationTest	VERIFIED
Projects	Project Space v3	Project/Goal/Instruction/Customization	/projects; /projects/{id}/workspace	ProjectWorkspaceFinalModel	snapshot cache	native scope	project signals + ContextCarry	instructions/recommendations	meaningful events	Part3FinalIntegrationTest; Part3FinalDepthIntegrationTest	VERIFIED
Sources/Library	Source pipeline + relationships + hybrid retrieval	Source/Chunk/Relationship	/sources; /sources/search	source IDs in typed flows	cache/sync boundary	link/unlink project	evidence/source refs	RAG with ownership filters	no direct authority	Part1CompletionIntegrationTest; Part3FinalIntegrationTest	VERIFIED
Tutor/Learning Modes	Versioned Learning Modes	LearningModeDefinition	/learning-modes	ContextCarry.learningMode	persisted	project/default compatible	context field	prompt/tool/assessment policy	none	Part3FinalDepthIntegrationTest	VERIFIED
Practice	Deterministic practice	PracticeSession/Item/Attempt	/practice/**	existing contracts	local/sync foundation	project-owned	mistake/performance signals	AI advisory	meaningful completion	Part1CompletionIntegrationTest	VERIFIED
Tests	Assessment engine	Assessment/Attempt/Answer	/assessments/**	typed server integration	attempt persistence	project-owned	performance evidence	AI advisory	meaningful graded events	Part3FinalDepthIntegrationTest	VERIFIED
Quizzes	Assessment quiz type	Assessment/Attempt	/assessments/**	typed server integration	attempt persistence	project-owned	performance evidence	AI advisory	meaningful graded events	Part1/Part3 integration	VERIFIED
Flashcards	SRS flashcards	Deck/Card/Review	/flashcards/**	existing contracts	review state persisted	learning flows	due/review signals	AI may draft	review events	Part1CompletionIntegrationTest	VERIFIED
Mistakes	Mistake learning signals	Mistake/StudentSignal	/mistakes/**; /student-model	existing contracts	local/sync foundation	project context	first-class evidence	drives recommendations	meaningful correction	Part3FinalIntegrationTest	VERIFIED
Notes	Versioned notes	Note/NoteVersion	/notes/**	existing contracts	persisted note foundation	project-owned	goal links/evidence	AI save-note	meaningful activity	Part3FinalDepthIntegrationTest	VERIFIED
Translate	Provider-backed tool	Tool request/result	/translate	tool bridge	no fake provider	context usable	not durable by default	external provider	 none	frozen regressions	IMPLEMENTED_EXTERNAL_PROVIDER_BOUNDARY
Calculator/tools	Deterministic tool bridge	Tool command/result	/commands/resolve	UniversalCommandResultModel	local intent where applicable	project/source hints	ContextCarry	LLM not required	 none	Part3FinalSystemsTest; Part3ControlIntegrationInstrumentedTest	VERIFIED
Game	Server-authoritative progression/economy	GameProfile/XP/CoinLedger	/game/**	Part2 game contracts	cached revisioned state	activity events	memory participates in Map gate	AI no economic authority	core authority	Part2* tests; Android Part2 tests	VERIFIED
Notifications	Preferences/intents + semantic events	NotificationPreference/FrontendEvent	/notifications/**; /frontend-events	FrontendSemanticEventModel	events persisted/once-consumed	projectId supported	memory events possible	AI no authority	game/progression may notify	Part2CompletionIntegrationTest; Part3 Android tests	VERIFIED
Settings	Account/settings	Settings/Profile	/settings	existing settings contracts	local preference foundation	account-wide	language/timezone inform context	provider-neutral	 none	Foundation/Part1 tests	VERIFIED
Account/Profile	Identity + export/delete	Account/Session/ExternalIdentity/DeletionLifecycle	/account/export; /account/delete; /auth/google	ApiSession	local session state	account root	export/delete covers memory	live Google token external	profile reads game state	BackendFinalClosureIntegrationTest; GoogleApiIdentityVerifierCryptoTest	VERIFIED_WITH_LIVE_GOOGLE_EXTERNAL_BOUNDARY
History/Recent Activity	Unified activity timeline	ActivityEvent/TimelineItem	/activity	Home/Personal typed data	snapshot cache	project filter/deep links	evidence may reference activity	scoped recent context	meaningful events	Part3FinalIntegrationTest	VERIFIED
